UseCase,CurrentSituation,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,-,-,-,-,
B2B marketplaces,Marketplaces are emerging within CSPs to enable distribution of virtualized network functions (VNF) with some exploration enabling end-user applications by cross-connecting cloud marketplaces.,Industry cloud,public cloud,SaaS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Digital product life-cycle management,CSPs face challenges around delivery of products to market and management of variations/bundling of those products.,Cloud,mobile,usage analytics,AI/cognitive analytics,machine learning,customer profiling systems,IoT,social media data collection,-,-,-,-,-,-,-,-,-,-,
Integrated product development and sourcing management,Product development and sourcing are largely independent functions within the majority of CSPs.,Cloud,analytics,supply chain management,PLM analytics,IoT,-,-,-,-,-,-,-,-,-,-,-,-,-,
Offering Co-creation,The ability to let customers contribute to design and let suppliers participate in R&D is limited.,Social,industry cloud,BDA,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Contextualized marketing,Contextualization is based on location and day/time and customer purchasing pattern profiles.,Cloud,IoT,time- stamped geospatial analytics,unstructured data analytics,ingestion of worldhood data sources,customer journey analytics,natural language processing,predictive behavioral analytics,natural language expression,trade-off analytics,-,-,-,-,-,-,-,-,
Omni-channel marketing and advertising optimization,Marketing mix modeling is disconnected from one-to-one customer journey marketing- rules-based or infrequently optimized programmatic advertising bidding- imprecise return on marketing investment- retargeting disconnected from offline transactions.,Cloud,machine learning,behavioral ,personality analytics,trade-off analytics,optimization,-,-,-,-,-,-,-,-,-,-,-,-,
Next-generation customer retention,CSPs have relied heavily on voice and message interactions- usually at a broadcast level- to maintain contact with customers and evaluate their satisfaction with elements of product service.,Usage analytics,AI/cognitive analytics,machine learning,customer profiling systems,IoT,social media data collection,churn analytics,-,-,-,-,-,-,-,-,-,-,-,
Customer journey mapping,Expectations for speed- convenience- transparency- and personalized engagement are not often met with the current convoluted processes within communications service providers. The current customer journeys need to align with the shifts in customer demographics- behavior- and expectations as well as market dynamics.,Advanced business process management tools,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Augmented social marketing,Social marketing campaign decisions are informed by experiential gut feel with limited data on influencers' reach to target audiences- resulting in low audience reach- low return on social marketing budgets- and poor budget allocation.,Cloud,machine learning,natural language processing,personality,behavioral,conversational tone analytics,social network analytics,-,-,-,-,-,-,-,-,-,-,-,
Augmented content optimization,"User-driven content tagging is slow- cumbersome- and inconsistent. Product- keyword- theme- and campaign taxonomies are static- with emotive ""brand personality"" and thematic dimensions poorly understood and inconsistently defined and documented.",Cloud,machine learning,natural language processing,visual AI analytics,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Mobile task management,Even as communications service provider business models and operations are becoming more complex- tasks are still communicated by email- mailbag- and excel spreadsheet.,Mobile devices,task management,mobile apps,IoT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Digital workforce management,Workforce development is heavily siloed and ad hoc.,Mobile devices,task management,learning ,development applications,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Empowered worker,Inaccurate- incomplete- or out-of-date information for execution of inline process tasks delays completion- creates rework- reduces job satisfaction- and adds cost.,Cloud,machine learning,IoT,AI knowledge search ,retrieval,intelligent assistants,mobile,social collaboration,-,-,-,-,-,-,-,-,-,-,
Augmented knowledge worker,Workers handling nonroutine problem- solving tasks in collaborative workflows spend too much time retrieving- validating- consolidating- and normalizing data spread across enterprise systems- desktop applications- and external sources with little analytical support for the problem-solving tasks themselves.,Cloud,machine learning,text analytics,natural language processing,AI-enabled image analytics,IoT,AI- enabled knowledge search ,retrieval,intelligent assistants,causal reasoning ,hypothesis generation,dialog management,training,social collaboration,-,-,-,-,
Ecosystem collaboration,Inaccurate- incomplete- or out-of-date information with a lack of skills awareness and limited collaboration platforms to connect knowledge workers- both internally and externally- with the CSP.,Cloud,machine learning,IoT,AI knowledge search ,retrieval,mobile,social collaboration,-,-,-,-,-,-,-,-,-,-,-,
Next-generation payments,Payment processes require a myriad of partners- internal and external processes- and adherence to PCI compliance and PiP requirements and are expensive to operate and support- as changes are required.,Mobility,cloud,multifactor authentication,biometric authentication,APIs,mobile apps,mobile devices,payment devices,one-click digital apps,managed services,PCI ,PiP compliance testing,-,-,-,-,-,-,
Next-generation digital security,CSPs and their customers have focused most of their attention on reducing the impact of digital breaches after the fact. At the same time- threat actors have been getting much more organized and sophisticated.,End-to-end encryption,tokenization,multimodal authentication,biometrics,advanced security analytics,threat intelligence platforms,cognitive,-,-,-,-,-,-,-,-,-,-,-,
Omni-channel order orchestration and fulfillment,Separate and sequential capture- management- and fulfillment workflows for store-bound and direct-to-consumer orders primarily optimized for profitability from enterprise points of supply unconstrained by store-labor capacity governed by rules- based systems operating on latent inventory and shipment status data- logistics fulfillment capacity assigned after order capture- sequential single-tier replenishment planning to misalign inventory with demand.,Cloud,industry cloud,IoT,prescriptive trade- off analytics,artificial intelligence,machine learning,blockchain,-,-,-,-,-,-,-,-,-,-,-,
Procurement and provisioning,Procurement and production planned and scheduled service capacity based on demand forecasts without anticipating material and capacity needs- leading to excessive lead times for service provisioning.,Cloud,industry cloud,IoT,prescriptive trade- off analytics,artificial intelligence,machine learning,blockchain,3D printing,3D product virtualization,customization,-,-,-,-,-,-,-,-,
Omni-channel commerce system,Current systems aspire to supporting multichannel commerce: supporting the customer journey in multiple channels (physical- online- catalog- mobile).,Omni-commerce (e-store ,m-store,social,voice,chat,one click,etc.),-,-,-,-,-,-,-,-,-,-,-,
Connected buy-and-pay points,Buy-and-pay points are disconnected- making for a linear buy-and-pay process that has latencies- unnecessary friction points- and does not leverage the connected social and mobile technologies that the consumer uses during the customer journey.,Omni-channel cart/order,digital payments,social networking,media,IoT ,voice-enabled bots,chatbots,one-click buttons,-,-,-,-,-,-,-,-,-,-,
Augmented product search,Great product search and SEO is possible online but does not carry into physical spaces well and certainly doesn't leverage the numerous consumer touch points.,SEO for all interactions,AI,virtual reality,augmented reality,IoT,voice,-,-,-,-,-,-,-,-,-,-,-,-,
Extended S&OP,S&OP is often an insular process that fails to adequately understand granular demand- broader supply- and the constraints of constituents beyond the narrow definitions of demand and supply balancing.,Cloud,social,BDA,cognitive,IoT,mobile,-,-,-,-,-,-,-,-,-,-,-,-,
Demand and consumption processing,Implemented as part of siloed service offerings with the CSP- demand analysis is applied to capacity planning within the CSP.,Cloud,IoT,mobile,industry cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Thinking supply chain,Various analytic models support different planning stages- but the models are loosely integrated.,Cognitive,BDA,AR/VR,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Risk management, compliance, and governance",Risks associated with external regulation- technology investments- and business model changes are largely independent- informing strategy without directing it.,Cloud,machine learning,IoT,AI knowledge search ,retrieval,mobile,social collaboration,-,-,-,-,-,-,-,-,-,-,-,
Sourcing intelligence,The current best practice looks at aggregate buying volumes with vendors for negotiation.,Cloud,industry cloud,cognitive,blockchain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Supplier network management,CSPs source from suppliers based on historical experience- patterns- and standard bidding processes- not always digital.,Predictive analytics,RFID,IoT,ERP,supply chain optimization applications,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Governance, compliance, risk management",CSPs apply uneven processes for governance- compliance- and risk management.,Industry cloud,data management,risk assessment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Advanced tech augmented work,Voice is used extensively in warehouse operations to aid order fulfillment operations.,Mobile,voice,AR,VR,3D printing,task management,WMS,TMS,GTM,-,-,-,-,-,-,-,-,-,
Automatic operations,Fulfillment has been predominated by manual operations- requiring manual hand-offs- conveyance- and pack and ship throughout fulfillment operations.,Robotics,drones,AGVs,AI/cognitive computing,sensors,IoT,WMS,TMS,GTM,-,-,-,-,-,-,-,-,-,
Predictive network orchestration,Network inventory positioning is largely forecast-centric- with reactive adjustments.,Predictive analytics,IoT,WMS,TMS,GTM,-,-,-,-,-,-,-,-,-,-,-,-,-,
Advanced network simulation,CSPs source from suppliers based on historical experience- patterns- and standard bidding processes- not always digital.,Predictive analytics,RFID,IoT,ERP,supply chain optimization applications,-,-,-,-,-,-,-,-,-,-,-,-,-,
Product innovation platform,CSPs are increasingly deploying platforms to enable API-driven access to CSP services. However- the process of incorporated customer and internally driven innovation to enhance service development is limited.,Social,industry cloud,BDA,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Curated product assortment and positioning,Product positioning and organization is highly siloed depending on customer segment being addressed with minimal cross-fertilization of solutions.,Analytics,BDA,IoT,cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Self-healing platforms,Though increasing levels of automation are being implemented- most of processes are manual- spanning multiple systems and touch points.,Analytics,cloud,network monitoring,orchestration tool,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Infrastructure virtualization,Virtualization is widespread throughout the IT side of the CSP business- but it has minimal impact on the operations side of the carrier business.,Orchestration ,automation tools,hypervisors,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Platform operations automation and orchestration,Platforms tend to have alignment to solutions and lines of business within the CSP- with automation applied unevenly across departments and product groups.,Usage analytics,BDA,cloud,monitoring tools,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Platform DevOps,Though experimentation is progressing around DevOps- migration from traditional deployment remains in progress- resulting in delays in implementation of new services and offerings for customers.,Cloud,DevOps tools,analytics,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Infrastructure and network process insight,There exists some connectivity to the CSP operations through sensors- but the ability to draw actionable insight out of the data generated through this connectivity remains limited.,IoT,BDA,advanced network analytics,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Augmented maintenance,Most assisted maintenance involves documented work instructions- but little is directly integrated into maintenance technician tooling.,AR/VR,cognitive,IoT,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Predictive analytics (performance and capacity),The most advanced asset management strategies usually involve condition-based monitoring- but there is limited ability to predict failures.,Cognitive,IoT,mobility,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Security management,Security is becoming a larger component of network management services- with increasing use of managed security offerings to detect and deter threats before they impact customer availability.,Sensors,communications networks,cloud,analytics,drones,robots,machine learning,-,-,-,-,-,-,-,-,-,-,-,
Digital consular services,Consular offices are tasked with helping people abroad (and in some cases domestically) in an increasingly online world. The effectiveness of ministries of foreign affairs is becoming more dependent on citizen participation. But many lack the tools for fully digital participation of citizens as they apply for things like visas- import or export permissions- and more.,Smart forms,workflow tools ,database merge/purge tools,ERM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Tracking trade agreements,The global economy has gone digital. Today- information- products- and services move across political boundaries very frequently. Many governments have responded to these changes by seeking to control trade in disruptive ways- while others fail to invest in technologies needed to monitor and report on two-way trade movement.,Smart forms,cloud-based reporting applications,Big Data ,analytics with prepackaged reports ,dashboards,-,-,-,-,-,-,-,-,-,-,-,-,-,
eVoting and census tracking,Current evoting machines have proven to be very hackable. Results can't be trusted. Governments are seeking ways to improve the performance and reliability of these solutions.,Blockchain for tech trustworthiness,identity-based access control solutions,multifactor ID,social media tools for social outreach,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Intelligent event management,Government organizations face challenges when managing events. This can range from crowd management and protests at political rallies and parades to collecting input related to economic development meetings They seek better online alternatives.,Cloud-based event management solutions,access control systems,budget ,staff deployment solutions with tracking ,reporting,event security ,tools to help with that are equally important,-,-,-,-,-,-,-,-,-,-,-,
Crime analysis and data sharing centers,Without advanced crime analytics and data sharing centers- federal agencies far more slowly connect critical- time-sensitive data- or piece together various siloed data- missing the opportunity to apprehend suspects and/or prevent crime from occurring.,Advanced analytics,visualization tools,cognitive solutions,machine learning,social media analytics,video walls for display,platforms to centralize a common operating picture,mobile alerting,cloud platforms,next-generation security solutions,biometrics,facial recognition,Lidar,3D crime scene mapping technologies,-,-,-,-,
Digital evidence management,Evidence is currently gathered in a part-analog- part-digital manner- with little integration or orchestration across the judicial continuum.,Cloud-enabled platforms,social media analytics,video management solutions,data management,data quality ,integration solutions,-,-,-,-,-,-,-,-,-,-,-,-,
Early warning systems,Many nations currently learn of large-scale events too late- when it is impossible to mitigate damage or loss of life. While sensors and robotics can be deployed as early warning systems- central governments have been reluctant to make these investments. Governments still rely on decades old- 2nd Platform technologies for detection- which are patently slower and less effective.,IoT sensors,advanced analytics,robotics,deployables,cloud-enabled platforms,public alerting ,warning systems,-,-,-,-,-,-,-,-,-,-,-,
Next-generation emergency management,National emergency response agencies traditionally help citizens before- during- and after natural emergencies and security incidents.,IoT sensors,advanced analytics,robotics,deployables,cloud-enabled platforms,public alerting ,warning systems,-,-,-,-,-,-,-,-,-,-,-,
Offender monitoring,Offender monitoring is traditionally a paper- and process-based workflow- technology provides courts- jail cell- and probation to more effectively and unobtrusively manage offenders.,RFID tracking devices,IoT solutions,workflow management solutions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Inmate virtual care,Inmates frequently encounter a lack of training- support- and adequate specialized services because of travel- scheduling- and cost constraints associated with in-person support services.,Cloud-based collaborative tools,video management solutions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
The connected courtroom,Federal courts have lagged in terms of technology adoption and uptake- remaining paper-based- siloed- and seeped in tradition and procedure hundreds of years old at times.,Cloud-based collaborative tools,video management solutions,machine learning,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Border, customs, and immigration management",Border- custom- and immigration management has become inordinately complicated in the 21st century- requiring a coordinated- concerted effort and technology investment by federal agencies. Legacy technology simply cannot keep up with the volume of cargo and people moving across borders.,Machine learning,artificial intelligence,hybrid cloud services,advanced analytics,mobile,predictive analytics,IoT sensors,supply management technology,-,-,-,-,-,-,-,-,-,-,
Critical infrastructure management,Critical infrastructure is increasingly the target of cybersecurity breaches- targeted because of the disruption and chaos violations bring to society. Legacy technologies are ill-equipped to manage or even detect these breaches.,Cybersecurity solutions,IoT sensors,hybrid cloud computing service solutions,endpoint security,network security,advanced analytics,-,-,-,-,-,-,-,-,-,-,-,-,
Social engineering,A number of large foreign agencies have recently used social media as a key tool to disrupt foundations to the democratic process like public opinion- the electoral process- and social activism. Preexisting tools and vetting processes were patently incapable of detecting these breaches.,Cybersecurity solutions,bots,hybrid cloud computing service solutions,endpoint security,network security,advanced analytics,-,-,-,-,-,-,-,-,-,-,-,-,
Connected and digital workers,With legacy systems- response to citizens for information regarding benefits and eligibility is slow and mundane- as often repetitive questions are asked- employees are located in different offices and may be conducting work in the field- making it difficult to collaborate and yet operational costs must be contained.,Cloud-based instant messaging,presence management,mobility solutions,cloud-based web ,videoconferencing,desktop sharing ,unified messaging,machine learning ,chat bots,-,-,-,-,-,-,-,-,-,
Data-driven social services,Changing citizen needs and expectations- legislative changes in eligibility rules and funding- staff reductions- and the retirement of experienced employees- coupled with legacy systems that are decades old- cause delays in enrollment- verification- and benefit delivery- as well as errors in benefit administration.,Cloud-based eligibility platform,Big Data,dashboards,cybersecurity,endpoint security,network security,-,-,-,-,-,-,-,-,-,-,-,-,
Benefits fraud and abuse prevention,Despite agency efforts- fraud- waste- and abuse spending continues to impact federal agencies. In the United States- it increased from $137 billion in FY15 to $144 billion in FY16- the highest amount in years and the fourth consecutive year of increases. Beyond pay- chase- and recover- federal agencies are working to stop these payments- but bad actors may be a step ahead of government.,Cloud-based lists,data hubs,Big Data,dashboards,AI,machine learning,cognitive,cybersecurity,-,-,-,-,-,-,-,-,-,-,
Health promotion and predictive disease management,Risky behaviors such as tobacco use and obesity are top causes of disease- disability- and death. Proper inoculation can prevent illness and death- yet often citizens are not informed of the consequences of risky behaviors nor of outbreaks of contagious illness. Information may exist on agency websites- but this is not accessible via mobile devices- often hard to find- and not current.,Cloud-based interactive data portals accessible via mobile devices,social media alerts via widgets,geolocation of visualization of episodes,Big Data ,analytics for predicting disease outbreaks,-,-,-,-,-,-,-,-,-,-,-,-,-,
Addiction prevention and monitoring,Substance abuse and abuse of prescription drugs along with heroin is one of the most critical public health and safety issues facing the U.S. Opioid addiction causes 33-000 U.S. deaths annually.,Cloud-based digital transformation platform providing portals for advisories,social media alerts,data management,integration across data sources,integrated case management,analytics,risk scoring,predictive modeling,geospatial mapping,visualization ,dashboards,-,-,-,-,-,-,-,
Ensuring food safety and traceability,Globalization of the food supply and increased consumer demand for high quality and variety require new approaches to meet standards and ensure consumer safety. An authoritative stamp of cleanliness or safe consumption is a significant issue in China and ASEAN food supply.,Data filtering ,text analytics,cloud-based predictive modeling that identifies data indicative of an unsafe impact on the food supply chain,visualization ,dashboards,-,-,-,-,-,-,-,-,-,-,-,-,-,
Open data,Government organizations have massive amounts of information stored in multiple systems- databases- and spreadsheets- with more data being created and collected daily ? from paper forms to connected digital devices. Citizens expect government to keep them informed and want to interact with government on their terms- 24 x 7- and not only receive information but also search for- quickly find- and share information.,User-friendly cloud-based metadata platform for developing enterprise search capabilities,data filtering,applications that tie together capabilities such as team collaboration,content ,document management,geolocation mapping,data analysis,visualization tools,-,-,-,-,-,-,-,-,-,-,
Omni-channel portals,Current government provision of information and services exists largely in separate and disconnected domains: physical- online- and mobile. Most lack a clear and easy user experience for navigation. This causes constituent experiences to be disjointed- inconsistent- and disconnected.,Cloud-based portals providing advisories,content management,applications,data management across all data sources,publishing software,enterprise portals,online payment options,rules-based,integrated case management ,analytics,chat bots,-,-,-,-,-,-,-,
Digital equity inclusion and accessibility,According to the World Bank- approximately 1 billion people worldwide live with a disability- yet many government websites are not designed with an accessibility-first design for multiple platforms (i.e.- desktop PC- tablet- mobile phones). This makes it difficult for communications and access to government services and information. There is also a significant divide between those that do- and don't- have access to the internet- especially in rural and other remote areas. Only 14% of the world's population will have access to broadband connectivity by 2019- impacting digital literacy and access to critical information.,Speech output?enabled emails,websites,blog post,or social media pages for full ,independent use by individuals with vision or tactile impairments,accessible work ,collaboration tools,next-generation,faster ,broader network pipes for government use,efficient spectrum management,the adoption of satellite,-,-,-,-,-,-,
Banking supervision,Bank management- investment- and processing requires ongoing oversight- supervision- license-granting processes- and enforcement- often by a government regulatory body.,RegTech,an evolving field within the financial services industry,utilizes information technology to enhance regulatory processes. Legislation/regulation workflow management,gap analysis tools,compliance management tools,transaction monitoring ,reporting tools,regulatory reporting tools,activity ,access monitoring tools,risk management solutions,case management tools ,data warehouses,-,-,-,-,-,
Regulatory management,Ongoing regulatory management of industries also requires ongoing oversight- supervision- license-granting processes- and enforcement- often by a government regulatory body.,Workflow management tools,reporting tools,activity ,access monitoring tools,risk management solutions,case management tools ,data warehouses,-,-,-,-,-,-,-,-,-,-,-,
Digital currencies,Most governments control currency and related interest rates through central banks. The anonymity of cash can provide opportunity for fraud. Some progressive countries are launching their own digital currencies (Sweden and China have both expressed interest in issuing a digital form of government-backed money).,Blockchain/distributed ledger technology,high-end servers for processing,cryptographic applications,transactional recoding systems,associated payment systems,mobile payment applications,-,-,-,-,-,-,-,-,-,-,-,-,
Government payments,Governments have a good handle on procurement and payments- but they still struggle with fraud. Governments provide loans that are crucial to the prosperity of homeowners- businesses- farmers- students- rural communities- and other groups. Agencies struggle to collect the necessary data and put in place the information systems- analytical models- and technical processes for robust risk management to prevent defaults and ensure that these loans are repaid.,Cloud-based information management systems that contain data for loan recipients ,lenders,Big Data to identify credit risk,on-demand reporting tools (scorecards/dashboard) to provide visualization of loan status ,risk scores,risk assessment models that incorporate unstructured data (text-based reports ,public information),compliance management tools,workflow management,change management applications,-,-,-,-,-,-,-,-,
Tax processing,Tax collection offices need to monitor the status of the pending legislation and take steps to implement code changes or the extensions of any provisions as authorized by Congress.,Compliance management tools,workflow management,legal monitoring platforms with alerts,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Revenue collection,Many governments struggle with establishing a sustainable tax and revenue collection system that can collect taxes and revenue from licensing and permits in an easy- efficient- and cost-effective manner.,Cloud-enabled portals,workflow management tools,financial management solutions,reporting tools,activity ,access monitoring tools,risk management solutions,data warehouses,-,-,-,-,-,-,-,-,-,-,
Smart buildings,Federal buildings make up the largest portfolio of buildings in the world. Ranging from offices to military bases to national labs- they office hundreds of thousands of employees. Historically- federal buildings use lighting- mechanical- and heating- ventilation- and air-conditioning systems inefficiently. Comfort of occupants is often overlooked.,Automated building management systems networked with IoT sensors,wireless communications,weather monitoring systems,LED lights,cloud-enabled Big Data ,analytics,dashboards,-,-,-,-,-,-,-,-,-,-,-,
Digital permitting and licensing,Requests for permits and licenses can be an arduous and time-consuming task. Information required can include documentation- management certification- site maps and diagrams- inspection and maintenance- record keeping- training- designated employees- notification procedures- and response obligations. Required information may be paper based- and if digital- typically not shared with other agencies. Often- there is an overlap and duplication between permitting processes and agencies requesting the same information.,Mobile devices,mobile apps,GPS,payments systems,digitized ,georeferenced historical data,cloud-enabled collaborative content management ,data sharing platforms,-,-,-,-,-,-,-,-,-,-,
National parks and monument management,Parks and monuments are typically managed by a small number of professionals and volunteers. Publicly owned and managed lands are sources of potential energy- history- culture- recreation- food- and water- yet often there is a lack of information and data about public land and monuments- including usage and resource management.,Cloud-based portals ,mobile GIS apps to improve the efficiency of field workers,Bluetooth beacon ,other short-range radio technologies,sensors ,video cameras,mobile apps,content management software,eforms to apply for land use,analytics of usages ,threats to sustain the health ,diversity of lands,-,-,-,-,-,-,
Flood water management,Floods impact lasting social consequences for communities and individuals. Immediate impacts include loss of human life- damage to property- destruction of crops- loss of livestock- and deterioration of health conditions due to waterborne diseases. Long-term impacts include displacement- loss of property- and disruption to business- schools- and infrastructure. Many dams and waterways are decades old and are primarily monitored through a system of visual and internal inspections for wear and tear.,Cloud-based analytics including Big Data ,dashboards,AI,machine learning,IoT,Bluetooth,-,-,-,-,-,-,-,-,-,-,-,-,
Environmental quality and management,Environmental hazards including toxic chemicals- pollutants- pesticides- contaminated water- and biological- or physical- agents in the environment result from human activities or natural processes and may impact the health of those exposed and threaten the surrounding environment. Often- government isn't aware of the hazard- nor the extent of it.,Big Data ,analytics,data visualization,geospatial tools in a cloud-based framework to enable analysis ,informed decision making,for example,cloud-based advanced pollution ,waterborne pathogen monitoring systems to predict air quality degradation ,predict blooms for early action,Cloud-based services platform for submitting ,sharing environmental information,monitoring,trend analysis among ecosystem partners,cloud-based portals to support permitting,-,-,-,-,
Vehicle to everything (V2X) connectivity,There is ongoing development in connecting vehicles wirelessly to other vehicles- wayside infrastructure- and cloud-based services. While current connectivity often uses Dedicated Short Range Communications (DSRC)- this requires a physical installation and is limited to where it is installed. Cellular is almost ubiquitous- but LTE has too high a latency for safe vehicle operations when microseconds matter. 5G is considered to be the coming platform for V2X communications.,Mobile,cloud,edge,IoT,sensor integration with other smart devices on national roadway or highway traffic systems to communication-capable vehicles on the road,-,-,-,-,-,-,-,-,-,-,-,-,-,
Drone-based travel and transportation,"Development of drone-based travel is currently under way using single-occupancy vehicles that fly short distances. As traffic congestion increases in cities- drones offer the possibility of flying over the traffic and a constrained street grid. ""Flying cars-"" as human-carrying drones are sometimes called- are currently under testing- with an increasing number of companies entering this space. Regulatory and operational developments are required for full-scale adoption of this mode- but these are under way- as well as vehicles are already under piloting.",Drone technology,GPS,sensors,wireless communications,intelligence at the edge,IoT,cloud-enabled analytics,mobile device apps to request ,enter ride information,-,-,-,-,-,-,-,-,-,
Smart airports,Airports are becoming increasingly connected- providing efficiencies for airport operators and airline tenants and with user benefits for passengers. Currently- core functions of operations and passenger uses remain generally siloed using dedicated and legacy systems.,GPS,sensors,wireless communications,intelligence at the edge,WiFi,Bluetooth,IoT,cloud-enabled analytics,mobile,-,-,-,-,-,-,-,-,-,
Connected ports and marine transport,Ports and marine travel are employing more smart technology to increase cargo movement efficiency in ports and more connected and easier fare payment on ferries.,GPS,sensors,wireless communications,WiFi,IoT,cloud-enabled analytics,mobile,SMS,Bluetooth,NFC,-,-,-,-,-,-,-,-,
Next-generation rail,Enhanced networking connectivity on board trains is allowing for better crew operations as well as enhanced experiences for passengers. In addition- connectivity to command centers allow for better operational control and improved data resources for management.,GPS,sensors,wireless communications,WiFi,IoT,cloud-enabled analytics,mobile,SMS,Bluetooth,NFC,-,-,-,-,-,-,-,-,
Next-generation air traffic control,In some countries- waypoints on the ground are still used as navigational aids despite the presence of satellites and GPS that could allow for more efficient routings that allow for more efficient air traffic control. Next-generation air traffic control systems are under way.,Automatic Dependent Surveillance?Broadcast,transponders,avionics,satellites,data communications,VoIP,-,-,-,-,-,-,-,-,-,-,-,-,
